Longitud,Latitud,Grupo
-102.7794564,21.74324826,1.1
-102.7928678,21.75519637,1.1
-102.7983073,21.75891269,1.1
-102.8059911,21.76396569,1.1
-102.8143895,21.76540083,1.1
-102.8147219,21.76549248,1.1
-102.8150144,21.76557112,1.1
-102.8150435,21.76590094,1.1
-102.8155618,21.76605737,1.1
-102.8213399,21.77590785,1.1
-102.8200951,21.77845682,1.1
-102.8271954,21.78707302,1.1
-102.8324104,21.79789998,1.1
-102.8393091,21.79686549,1.1
-102.8420912,21.80402923,1.1
-102.8422498,21.80475484,1.1
-102.8422499,21.80475487,1.1
-102.8422507,21.80475696,1.1
-102.8422508,21.80475714,1.1
-102.8454908,21.80030195,1.1
-102.8533451,21.79905315,1.1
-102.8472559,21.82239262,1.1
-102.8473148,21.83340922,1.1
-102.858051,21.83322635,1.1
-102.8645696,21.84352691,1.1
-102.8709233,21.84615057,1.1
-102.8728254,21.85642862,1.1
-102.8633801,21.86376578,1.1
-102.8605461,21.88025969,1.1
-102.8556021,21.88450917,1.1
-102.8496453,21.90556582,1.1
-102.8460947,21.9137392,1.1
-102.8435319,21.92640855,1.1
-102.8372898,21.94061771,1.1
-102.8327536,21.9425806,1.1
-102.8216125,21.95879972,1.1
-102.8207308,21.96424474,1.1
-102.8054616,21.9963004,1.1
-102.7914986,22.01598835,1.1
-102.7840433,22.01685457,1.1
-102.7815669,22.02861951,1.1
-102.7742656,22.03604814,1.1
-102.7689813,22.03782289,1.1
-102.7609897,22.04628674,1.1
-102.7531803,22.06325782,1.1
-102.7558057,22.07366208,1.1
-102.7418974,22.08217262,1.1
-102.72491,22.09015731,1.1
-102.7184936,22.09083905,1.1
-102.7096415,22.09661837,1.1
-102.6910829,22.10616423,1.1
-102.690142,22.12339498,1.1
-102.6834141,22.12991358,1.1
-102.6863198,22.13697311,1.1
-102.681081,22.14521992,1.1
-102.6743447,22.14778143,1.1
-102.6694157,22.15958958,1.1
-102.674999,22.16976242,1.1
-102.6758945,22.17557252,1.1
-102.6679813,22.17842628,1.1
-102.6662657,22.18303286,1.1
-102.6693101,22.19402358,1.1
-102.6553367,22.19125246,1.1
-102.6502375,22.20122622,1.1
-102.6458216,22.20430605,1.1
-102.6458024,22.21321183,1.1
-102.6413871,22.22844754,1.1
-102.6700171,22.24570243,1.1
-102.6687429,22.29187105,1.1
-102.5270393,22.29089903,1.1
-102.5066307,22.29381254,1.1
-102.5012651,22.30426977,1.1
-102.4885312,22.30540832,1.1
-102.4702016,22.3092102,1.1
-102.4669811,22.31906645,1.1
-102.4609377,22.32316183,1.1
-102.4610209,22.33175888,1.1
-102.4691937,22.33322557,1.1
-102.4704751,22.3369774,1.1
-102.4656459,22.3501948,1.1
-102.4508688,22.35217275,1.1
-102.4323339,22.35745808,1.1
-102.4157091,22.35995889,1.1
-102.3941784,22.363195,1.1
-102.387879,22.3641412,1.1
-102.3784428,22.36087858,1.1
-102.3592503,22.38495169,1.1
-102.3628771,22.38874728,1.1
-102.3347734,22.38862926,1.1
-102.3259255,22.38859109,1.1
-102.325501,22.38858925,1.1
-102.3213593,22.38882276,1.1
-102.321344,22.3896528,1.1
-102.3210305,22.41829135,1.1
-102.3120401,22.4408182,1.1
-102.3120554,22.44543478,1.1
-102.3120354,22.44600523,1.1
-102.311657,22.45601514,1.1
-102.3116526,22.45613308,1.1
-102.3117742,22.45677545,1.1
-102.3118048,22.45691582,1.1
-102.2984779,22.45954538,1.1
-102.2983069,22.45958968,1.1
-102.2899307,22.41998362,1.1
-102.2793271,22.4143158,1.1
-102.2739811,22.41433115,1.1
-102.2660467,22.40372129,1.1
-114.8135728,32.49391317,2.1
-114.81573,32.48332308,2.1
-114.8253517,32.480043,2.1
-114.8341705,32.48075118,2.1
-114.8384165,32.47581262,2.1
-114.8490775,32.47342343,2.1
-114.8687965,32.48285151,2.1
-114.8695735,32.48641162,2.1
-114.8802449,32.4920308,2.1
-114.8868528,32.49175123,2.1
-114.9000917,32.48350135,2.1
-114.9070585,32.48210945,2.1
-114.9229089,32.48292146,2.1
-114.9349966,32.48187468,2.1
-114.9392249,32.47427435,2.1
-114.9359795,32.45338443,2.1
-114.9315704,32.44106608,2.1
-114.9450701,32.42554135,2.1
-114.9451097,32.42477054,2.1
-114.9454048,32.42386497,2.1
-114.9456433,32.42298011,2.1
-114.945917,32.42215985,2.1
-114.9608597,32.41068637,2.1
-114.9602398,32.40154514,2.1
-114.9538196,32.39699691,2.1
-114.9594923,32.39183434,2.1
-114.9684982,32.38922666,2.1
-114.9632172,32.37669786,2.1
-114.9645682,32.36604926,2.1
-114.9621965,32.35196671,2.1
-114.9656336,32.34102943,2.1
-114.9804775,32.32944791,2.1
-114.9919629,32.31783989,2.1
-114.9935199,32.31172205,2.1
-115.0076003,32.30542183,2.1
-115.0261019,32.28617394,2.1
-115.0356572,32.27848329,2.1
-115.0427205,32.27006637,2.1
-115.0414903,32.26183929,2.1
-115.0496128,32.25288995,2.1
-115.0530223,32.24517402,2.1
-115.0455587,32.24118372,2.1
-115.0412488,32.23232471,2.1
-115.0296489,32.22322078,2.1
-115.028597,32.22239505,2.1
-115.028557,32.22236367,2.1
-115.0285202,32.22233482,2.1
-115.0211572,32.21655468,2.1
-115.0204257,32.21598037,2.1
-115.0183129,32.21432157,2.1
-115.0121229,32.20953957,2.1
-115.0108013,32.20848818,2.1
-115.0094476,32.2074286,2.1
-115.0086752,32.20679277,2.1
-115.0071916,32.20562888,2.1
-115.0067175,32.20576522,2.1
-115.0063197,32.20609195,2.1
-115.0062293,32.20616895,2.1
-115.0059685,32.206302,2.1
-115.0054573,32.20570922,2.1
-115.0043623,32.20341603,2.1
-115.003629,32.20246706,2.1
-115.0030624,32.20178935,2.1
-115.0024619,32.20096245,2.1
-115.0023661,32.20104568,2.1
-115.0027272,32.20190698,2.1
