Entidad,delitos,cifra_negra,anio,zona
Veracruz de Ignacio de la Llave,1233114,1132045,2012,Oriente
Yucatán,326090,290138,2012,Sureste
Zacatecas,201858,180124,2012,Centronorte
Aguascalientes, 301 182, 269 668,2021,Centronorte
Baja California, 870 966, 794 103,2021,Noroeste
Baja California Sur, 131 171, 118 991,2021,Noroeste
Campeche, 125 394, 113 820,2021,Sureste
Coahuila de Zaragoza, 560 740, 522 405,2021,Noreste
Colima, 145 470, 131 499,2021,Oeste
Chiapas, 589 986, 539 691,2021,Suroeste
Chihuahua, 703 528, 649 334,2021,Noroeste
Ciudad de México,3 377 137,3 113 823,2021,Centrosur
Durango, 219 782, 204 136,2021,Noroeste
Guanajuato,1 296 056,1 224 534,2021,Centronorte
Guerrero, 624 454, 600 610,2021,Suroeste
Hidalgo, 427 902, 394 842,2021,Oriente
Jalisco,1 921 357,1 786 175,2021,Oeste
Estado de México,5 781 093,5 366 047,2021,Centrosur
Michoacán de Ocampo, 608 510, 574 671,2021,Oeste
Morelos, 464 780, 432 027,2021,Centrosur
Nayarit, 186 130, 175 043,2021,Oeste
Nuevo León,1 515 318,1 433 149,2021,Noreste
Oaxaca, 528 522, 498 105,2021,Suroeste
Puebla,1 680 303,1 572 757,2021,Oriente
Querétaro, 551 051, 505 743,2021,Centronorte
Quintana Roo, 431 155, 393 806,2021,Sureste
San Luis Potosí, 574 353, 553 161,2021,Centronorte
Sinaloa, 659 110, 637 378,2021,Noroeste
Sonora, 637 104, 601 008,2021,Noroeste
Tabasco, 590 366, 557 371,2021,Sureste
Tamaulipas, 525 528, 494 592,2021,Noreste
Tlaxcala, 273 195, 253 586,2021,Oriente
Veracruz de Ignacio de la Llave,1 145 599,1 068 176,2021,Oriente
Yucatán, 406 725, 385 471,2021,Sureste
Zacatecas, 249 319, 229 384,2021,Centronorte
